"Suburb","Population"
"Bootawa",386
"Bora Ridge",210
"Borambola",355
"Boree Creek",212
"Borenore",432
"Bossley Park",14028
"Botany",8884
"Botany Bay",0
"Bouddi",8
"Bourke",2465
"Bourkelands",2298
"Bournda",124
"Bow Bowing",1583
"Bowan Park",499
"Bowen Mountain",1459
"Bowenfels",1789
"Bowman",413
"Bowning",713
"Bowral",8022
"Bowraville",1208
"Box Head",0
"Box Hill (NSW)",1173
"Boydtown",162
"Bradbury (NSW)",8738
"Braemar",308
"Braidwood",1498
"Brandy Hill",673
"Branxton",1826
"Braunstone",291
"Bray Park (NSW)",831
"Breadalbane (NSW)",275
"Breakfast Creek",273
"Breakfast Point",2744
"Bream Beach",125
"Bredbo",499
"Brewarrina",1254
"Brewongle",189
"Bribbaree",267
"Bridgman",396
"Brierfield",339
"Brighton-le-Sands",8003
"Brightwaters",876
"Bringelly",2387
"Brisbane Grove",218
"Broadmeadow",1552
"Broadwater (Richmond Valley - NSW)",436
"Broadway",224
"Brocklehurst",474
"Brocklesby",225
"Brogo",507
"Broke (NSW)",636
"Broken Head",225
"Broken Hill",18777
"Bronte",6827
"Brookdale (NSW)",275
"Brookfield (NSW)",235
"Brooklet",262
"Brooklyn (NSW)",744
"Brookvale",2589
"Brooms Head",195
"Broughton Vale",443
"Broulee",1432
"Brownlow Hill",364
"Brownsville",523
"Bruah",171
"Brungle",307
"Brunswick Heads",1636
"Brushgrove",334
"Bucca (NSW)",523
"Buckajo",404
"Budgee Budgee (NSW)",325
"Budgewoi",3254
"Budgewoi Peninsula",0
"Buff Point",3285
"Bugaldie",236
"Bukkulla",396
"Bulahdelah",1519
"Bulga (NSW)",358
"Bullaburra",1215
"Bulli",5671
"Bundabah",291
"Bundaburrah",289
"Bundagen",128
"Bundanoon (NSW)",2420
"Bundarra",805
"Bundeena",1894
"Bundook",192
"Bungarby",214
"Bungendore",3553
"Bunglegumbie",164
"Bungonia",355
"Bungowannah",208
"Bungwahl",254
"Bunnan",213
"Bunyan",374
"Burnt Bridge",86
"Buronga",1132
"Burra (Palerang - NSW)",715
"Burrabadine",396
"Burradoo",2555
"Burraga",251
"Burragate",0
"Burraneer",3304
"Burrangong",240
"Burrawang",238
"Burrell Creek",247
"Burren Junction",300
"Burrill Lake",1328
"Burringbar",858
"Burroway",364
"Burrumbuttock",337
"Burrundulla",159
"Burwood (NSW)",12466
"Burwood Heights",810
"Busby",4208
"Buttaba",946
"Buxton (NSW)",2054
"Byabarra",328
"Byangum",335
"Byron Bay",4959
"Byrrill Creek",219
"Bywong",1195
"Cabarita (NSW)",1928
"Cabbage Tree Island (Ballina - NSW)",98
"Cabramatta",20780
"Cabramatta West",6767
"Cabramurra",364
"Caffreys Flat",214
"Calala",3451
"Calarie",278
"Calderwood",175
"Calimo",232
"Callaghan",653
"Callala Bay",2121
"Callala Beach",774
"Calliope (NSW)",407
"Camberwell (NSW)",181
"Cambewarra",211
"Cambewarra Village",1231
"Cambridge Gardens",2038
"Cambridge Park",6160
"Camden",3244
"Camden Head",165
"Camden Park (NSW)",1827
"Camden South",4343
"Cameron Park",5166
"Cammeray",6784
"Campbelltown (NSW)",10400
"Camperdown (NSW)",7866
"Campsie",21218
"Canada Bay",1296
"Candelo",732
"Cangai",182
"Caniaba",578
"Canley Heights",10455
"Canley Vale",9296
"Canobolas",514
"Canoelands",299
"Canowindra",2381
"Canterbury (NSW)",6159
"Canton Beach",1076
"Canyonleigh",193
"Capertee",372
"Captains Flat",743
"Caragabal",214
"Carcoar",695
"Cardiff (NSW)",5779
"Cardiff Heights",1280
"Cardiff South",2963
"Carey Bay",931
"Cargo",541
"Carinda",185
"Caringbah",10955
"Caringbah South",11605
"Carlingford",21570
"Carlton (NSW)",9808
"Carool",459
"Caroona",90
"Carramar (NSW)",3431
"Carrathool",296
"Carrington (Newcastle - NSW)",1874
"Carroll",176
"Carrs Creek",373
"Carss Park",1218
"Cartwright",2256
"Cartwrights Hill",176
"Carwoola",1431
"Casino",10558
"Cassilis (NSW)",350
"Castle Cove",2523
"Castle Doyle",457
"Castle Hill (NSW)",37915
"Castle Rock",329
"Castlecrag",2957
"Castlereagh",1055
"Casuarina (NSW)",1661
"Casula",14696
"Catalina",2380
"Catherine Field",1586
"Catherine Hill Bay",432
"Cattai",690
"Caves Beach",3936
"Cawdor (NSW)",454
