"Suburb","Population"
"Kurmond",877
"Kurnell",2213
"Kurraba Point",1702
"Kurrajong",3123
"Kurrajong Heights",1237
"Kurrajong Hills",639
"Kurri Kurri",5772
"Kyeemagh",789
"Kyle Bay",837
"Kyogle",2553
"La Perouse",418
"Lacmalac",124
"Lade Vale",506
"Ladysmith",197
"Laggan",326
"Lagoon Grass",100
"Laguna",548
"Lake Albert",5882
"Lake Cargelligo",1380
"Lake Cathie",2998
"Lake Conjola",395
"Lake Haven",3369
"Lake Heights",3259
"Lake Illawarra",3087
"Lake Innes",570
"Lake Munmorah",4802
"Lake Tabourie",600
"Lake Wyangan",901
"Lakelands (NSW)",1507
"Lakemba",15508
"Lakesland",407
"Lakewood (NSW)",1318
"Lalalty",261
"Lalor Park",6981
"Lambs Valley (Singleton - NSW)",436
"Lambton",5003
"Lane Cove",9474
"Lane Cove North",9337
"Lane Cove West",2251
"Lanitza",426
"Lansdowne (Bankstown - NSW)",17
"Lansdowne (Greater Taree - NSW)",633
"Lansdowne Forest",0
"Lansvale",2429
"Lapstone",911
"Largs",1350
"Larnook",371
"Larras Lee",94
"Laurieton",1931
"Lavender Bay",852
"Lavington",12032
"Lawrence (NSW)",1047
"Lawson (NSW)",2887
"Leadville",181
"Leconfield",220
"Leeton",8414
"Leets Vale",276
"Legume",370
"Leichhardt (NSW)",13520
"Lemon Tree Passage",2547
"Lennox Head",6147
"Leonay",2421
"Leppington",2383
"Lethbridge Park",4655
"Leumeah",9419
"Leura",4365
"Lewis Ponds",413
"Lewisham (NSW)",2927
"Leycester",235
"Liberty Grove",2048
"Lidcombe",16670
"Lidsdale",513
"Lightning Ridge",2492
"Lilli Pilli (Eurobodalla - NSW)",613
"Lilli Pilli (Sutherland - NSW)",1280
"Lillian Rock",215
"Lilyfield",7342
"Lilyvale (NSW)",75
"Limbri",244
"Limeburners Creek (Great Lakes - NSW)",313
"Limpinwood",223
"Linden (NSW)",594
"Lindendale",320
"Lindfield",8657
"Lindifferon",244
"Linley Point",394
"Lisarow",5038
"Lismore (NSW)",3799
"Lismore Heights",2194
"Liston",350
"Lithgow",5651
"Little Bay",2937
"Little Billabong",375
"Little Forest",325
"Little Hartley",536
"Little Wobby",218
"Littleton",875
"Liverpool",24095
"Llanarth (NSW)",1755
"Llandilo",1597
"Lloyd",529
"Lochiel (NSW)",314
"Lochinvar",941
"Lockhart (NSW)",1295
"Loftus",4016
"Loftville",246
"Logans Crossing",344
"Logie Brae",166
"Londonderry (NSW)",3817
"Long Beach",1379
"Long Flat (NSW)",384
"Long Jetty",5797
"Long Point (Campbelltown - NSW)",202
"Longueville",2099
"Loomberah",488
"Lord Howe Island",360
"Lorn",1264
"Lorne (NSW)",271
"Louth Park",640
"Lovedale",337
"Lowanna",323
"Lower Belford",384
"Lower Boro",246
"Lower Dyraaba",131
"Lower Macdonald",261
"Lower Pappinbarra",265
"Lower Portland",552
"Lowesdale",311
"Lucas Heights",0
"Lucknow (NSW)",326
"Luddenham",1496
"Lue",456
"Lugarno",5551
"Lurnea",8610
"Luskintyre",266
"Lynchs Creek",252
"Lyndhurst (Blayney - NSW)",219
"Lynwood (NSW)",184
"Macksville",2567
"Maclean",2600
"Macmasters Beach",1217
"Macquarie Fields",13170
"Macquarie Hills",3073
"Macquarie Links",1093
"Macquarie Park",6143
"Maddens Plains",12
"Magenta (NSW)",89
"Maianbar",523
"Main Arm",551
"Maison Dieu",162
"Maitland (NSW)",1833
"Majors Creek (NSW)",220
"Malabar",4937
"Mallabula",851
"Mallanganee",197
"Mallowa",284
"Maloneys Beach",369
"Malua Bay",1803
"Mandalong",388
"Mandurama",496
"Mangerton",2821
"Mangoplah",516
"Mangrove Mountain",725
"Manildra",728
"Manilla",2508
"Manly (NSW)",15072
"Manly Vale",5702
"Mannering Park",2398
"Manning Point",206
"Manyana",382
"Maraylya",1172
"Marayong",7316
"Marchmont",315
"Mardi",3439
"Marks Point",1731
"Markwell",270
"Marlee",340
"Marmong Point",762
"Maroota",291
"Maroubra",29594
"Marrangaroo",829
"Marrar",169
"Marrickville",24613
"Marsden Park",1050
"Marsfield",12347
"Marshall Mount",352
"Marthaguy",253
"Martindale",434
"Martins Creek",341
"Martinsville",365
"Marulan",1382
"Maryland (Newcastle - NSW)",7787
"Marys Mount",224
"Maryville",1420
"Mascot",10179
"Matcham",974
"Mathoura",1163
"Matong",305
"Matraville",9039
"Mayfield (Newcastle - NSW)",9070
"Mayfield East",1710
"Mayfield West",1771
"Mays Hill",715
"McDougalls Hill",455
"McGraths Hill",2507
"McKellars Park",224
"McLeans Ridges",623
"McMahons Point",2344
"Meadow Flat",354
"Meadowbank (NSW)",3667
"Medlow Bath",538
"Medowie",8843
"Medway",386
"Meerschaum Vale",357
"Megan",193
"Melrose Park (NSW)",1471
"Memagong",495
"Menah",422
"Menai",10529
"Menangle",877
"Menangle Park",241
"Mendooran",450
"Menindee",449
"Merah North",386
"Merewether",10469
"Merewether Heights",1433
"Merimbula",3278
"Meroo Meadow",351
"Merriwa (NSW)",1790
"Merriwagga",169
"Merrygoen",149
"Merrylands",26658
"Merrylands West",6188
"Merungle Hill",237
"Meryla",10
"Metford",4872
"Methul",306
"Michelago",648
"Middle Arm",498
"Middle Brook",405
"Middle Cove",1271
"Middle Dural",931
"Middleton Grange",515
"Mila",240
"Miller",3088
"Millers Forest",321
"Millers Point",1736
"Millfield",806
"Millingandi",385
"Millthorpe",1109
"Milperra",3844
"Milsons Passage",112
"Milsons Point",2013
"Milton (NSW)",1449
"Minchinbury",5453
"Mindaribba",326
"Minmi",694
"Minnamurra",855
"Minnie Water",189
"Minore Falls",116
"Minto",10307
"Minto Heights",379
"Miranda (NSW)",14436
"Mirrabooka (NSW)",748
"Mirrool",234
"Missabotti",310
"Mitchell (NSW)",1187
"Mitchells Flat",307
"Mitchells Island",445
"Mittagong",5722
"Moama",5559
"Modanville",566
"Mogareeka",206
"Mogendoura",234
"Mogo (Eurobodalla - NSW)",263
"Mogood",31
"Mole River",445
"Mollymook",1184
"Mollymook Beach",2062
"Molong",2515
"Mona Vale",10166
"Monaltrie",207
"Mondayong",0
"Monteagle",415
"Montefiores",471
"Monterey",4331
"Mooball",377
"Moobi",256
"Moonan Flat",274
"Moonbah",935
"Moonbi",999
"Mooneba",264
"Moonee Beach",1566
"Mooney Mooney",424
"Moorbel",243
"Moore Creek",1541
"Moore Park",0
"Moorebank",7595
"Moorland (NSW)",566
"Moorong",104
"Moree",9346
"Morisset",2857
"Morisset Park",617
"Morpeth",1260
"Mortdale",9702
"Mortlake (NSW)",754
"Morton",197
"Morts Estate",431
"Moruya",3855
"Moruya Heads",921
"Mosman",27452
"Moss Vale",7792
"Mossy Point",510
"Moto",290
"Moulamein",593
"Mount Annan",10540
"Mount Arthur",481
"Mount Austin",3999
"Mount Burrell",484
"Mount Colah",7106
"Mount Druitt",15794
"Mount Elliot (NSW)",202
"Mount Fairy",184
"Mount George (NSW)",339
"Mount Hunter",807
"Mount Hutton (NSW)",3181
"Mount Keira",1522
"Mount Kembla",1028
"Mount Kuring-Gai",1572
"Mount Lewis",1104
"Mount Olive (Singleton - NSW)",238
"Mount Ousley",1530
"Mount Pleasant (NSW)",1194
"Mount Pritchard",9044
"Mount Rankin",340
"Mount Riverview",2968
"Mount Russell",308
"Mount Saint Thomas",1422
"Mount Thorley",181
"Mount Vernon",1036
"Mount Victoria",896
"Mount View",251
"Mount Vincent",378
"Mount Warrigal",4543
"Mountain Lagoon",327
"Mountain View (NSW)",187
"Mudgee",9830
"Mugga Downs",746
"Mulbring",698
"Mulgoa",1792
"Muli Muli",169
"Mullaway",523
"Mullengandra",320
"Mullion Creek",576
"Mulloon",112
"Mullumbimby",3172
"Mullumbimby Creek",630
"Mulwala",1904
"Mumbil",421
"Mummulgum",259
"Mundamia",95
"Mundongo",215
"Mungindi (NSW)",738
"Murrami",271
"Murray Downs",145
"Murrin Bridge",99
"Murringo",322
"Murrumbateman",2846
"Murrumburrah",479
"Murrurundi",847
"Murwillumbah",6342
"Muscle Creek",522
"Muswellbrook",11791
"Mutawintji",179
"Myall Park (NSW)",136
"Mylestom",339
"Myocum",941
"Myola (NSW)",105
"Myrtle Creek (NSW)",236
"Myrtleville",377
"Mystery Bay",248
"Nabiac",1508
"Nambucca Heads",6222
"Nana Glen",1033
"Nangus",410
"Nanima",149
"Napoleon Reef",338
"Naradhan",166
"Narara",7767
"Narellan",3492
"Narellan Vale",7250
"Naremburn",5474
"Narooma",2417
"Narrabeen",7474
"Narrabri",7392
"Narraburra",274
"Narrandera",4471
"Narrawallee",1280
"Narraweena",6143
"Narromine",4581
"Narwee",4956
"Nashdale",367
"Nashua",243
"Neath",432
"Nelligen",253
"Nelson (The Hills - NSW)",471
"Nelson Bay (NSW)",5396
"Nelsons Plains",324
"Nemingha",644
"Nericon",309
"Nerong",349
"Nerriga",367
"Nerrigundah",55
"Nethercote",366
"Neurea",369
"Neutral Bay",9384
"Nevertire",225
"Neville",222
"New Berrima",542
"New Brighton",293
"New Italy",295
"New Lambton",9758
"New Lambton Heights",2155
"Newbridge (NSW)",183
"Newcastle",2384
"Newcastle East",991
"Newcastle West",594
"Newee Creek",384
"Newington (NSW)",5320
"Newport (NSW)",9037
"Newrybar",460
"Newtown (NSW)",14148
"Niagara Park",2815
"Niangala",142
"Nimbin",1668
"Nimmitabel",224
"Nobbys Creek",274
"Norah Head",1086
"Noraville",2698
"Nords Wharf",820
"Normanhurst",5156
"North Albury",5976
"North Arm Cove",422
"North Avoca",1953
"North Balgowlah",3458
"North Batemans Bay",543
"North Boambee Valley",1577
"North Bondi",8581
"North Brother",17
"North Casino",975
"North Curl Curl",3537
"North Dorrigo",305
"North Epping",4393
"North Gosford",3500
"North Haven (NSW)",1596
"North Lambton",3116
"North Lismore",798
"North Macksville",640
"North Manly",2776
"North Narooma",571
"North Narrabeen",5535
"North Nowra",5394
"North Parramatta",12594
"North Richmond",4601
"North Rocks",7625
"North Rothbury",838
"North Ryde",10115
"North Shore (NSW)",380
"North St Marys",3680
"North Star",423
"North Strathfield",4441
"North Sydney",6258
"North Tamworth",4092
"North Tumbulgum",305
"North Turramurra",3970
"North Wagga Wagga",737
"North Wahroonga",1886
"North Willoughby",3895
"North Wollongong",2272
"North Yeoval",94
"Northbridge (NSW)",5932
"Northmead",10224
"Northwood (NSW)",907
"Nowendoc",139
"Nowra",9257
"Nowra Hill",1830
"Nulkaba",552
"Nullamanna",415
"Numbugga",178
"Numeralla",362
"Numulgi",260
"Nunderi",667
"Nundle",597
"Nungatta",3
"Nurenmerenmong",12
"Nymboida",301
"Nyngan",2389
"O'Connell (NSW)",648
"Oak Flats",6310
"Oakdale (NSW)",1916
"Oakhampton",591
"Oakhurst (NSW)",6953
"Oaklands",238
"Oakville",1848
"Oaky Park",330
"Oatlands (NSW)",5330
"Oatley",10098
"Oberon",3185
"Obley",354
"Ocean Shores",4870
"Old Bar",4272
"Old Bonalbo",273
"Old Erowal Bay",948
"Old Grevillia",213
"Old Guildford",2596
"Old Junee",530
"Old Toongabbie",2682
"One Mile (NSW)",277
"Ootha",92
"Ophir",150
"Oran Park",195
"Orange",35990
"Orangeville",1102
"Orchard Hills",1912
"Orient Point",653
"Osterley (NSW)",243
"Otford",283
"Oura",476
"Ourimbah",4162
"Oxford Falls",442
"Oxley Island",301
"Oxley Park",2923
"Oxley Vale",3336
"Oyster Bay",5428
"Paddington (NSW)",12134
"Paddys River (Wingecarribee - NSW)",202
"Padstow",12717
"Padstow Heights",3491
"Pagewood",3643
"Pallamallawa",489
"Palm Beach (NSW)",1596
"Palmers Island",476
"Pambula",867
"Pambula Beach",665
"Pampoolah",365
"Panania",11489
"Parkes (NSW)",11265
"Parkesbourne",350
"Parklea",3455
"Parkville (NSW)",323
"Parma",321
"Parramatta",19745
"Parraweena",246
"Paterson (NSW)",802
"Patonga",202
"Paxton",852
"Peak Hill (NSW)",1150
"Peakhurst",9909
"Peakhurst Heights",2322
"Pearl Beach",513
"Peats Ridge",330
"Peel",552
"Pelaw Main",1027
"Pelican (NSW)",841
"Pembrooke",147
"Pemulwuy",3010
"Pendle Hill",6663
"Pennant Hills",7031
"Penrith",11813
"Penrose (Wingecarribee - NSW)",282
"Penrose (Wollongong - NSW)",1396
"Penshurst (NSW)",11692
"Perthville",818
"Petersham",7529
"Pheasants Nest",592
"Phegans Bay",439
"Phillip Bay",635
"Piallamore",219
"Piallaway",238
"Piambong",382
"Picketts Valley",269
"Picnic Point",5608
"Picton (NSW)",4595
"Piggabeen",327
"Pillar Valley",347
"Pimlico (NSW)",454
"Pindimar",230
"Pine Ridge",292
"Pinny Beach",0
"Pitnacree",41
"Pitt Town",1963
"Pleasant Hills",305
"Pleasure Point",297
"Plumpton (NSW)",8244
"Point Clare",3810
"Point Frederick",1772
"Point Piper",1404
"Point Wolstoncroft",6
"Pokolbin",694
"Polo Flat",12
"Pomona (NSW)",136
"Pooncarie",328
"Port Botany",3
"Port Hacking",1223
"Port Kembla",4884
"Port Macquarie",41491
"Porters Retreat",255
"Portland (NSW)",2307
"Possum Brush",10
"Possum Creek",277
"Potato Point",270
"Potts Hill",0
"Potts Point",6862
"Pottsville",5735
"Prairiewood",3009
"Premer",234
"Prestons",14420
"Pretty Beach (Gosford - NSW)",533
"Primbee",1579
"Primrose Valley",278
"Prospect (NSW)",4621
"Providence Portal",0
"Pumpenbil",441
"Punchbowl (Canterbury - NSW)",18429
"Purfleet",156
"Putney",4076
"Putta Bucca",291
"Putty",321
"Pymble",10582
"Pyree",261
"Pyrmont",11618
"Quaama",161
"Quakers Hill",26166
"Quambone",247
"Quandialla",349
"Queanbeyan",5784
"Queanbeyan East",3765
"Queanbeyan West",3157
"Queens Park (NSW)",2930
"Queenscliff (NSW)",3208
"Quialigo",579
"Quirindi",3523
"Quorrobolong",750
"Raby",5985
"Raglan (NSW)",1081
"Rainbow Flat",667
"Raleigh",550
"Ramornie",332
"Ramsgate",904
"Ramsgate Beach",1462
"Rand",575
"Randwick",27740
"Rankin Park",2451
"Rankins Springs",299
"Rappville",309
"Rathmines",1940
"Ravensdale",0
"Ravenswood (NSW)",475
"Raworth",1225
"Raymond Terrace",12725
"Razorback",964
"Red Head",396
"Red Range",606
"Red Rock",310
"Redbank (NSW)",393
"Redbournberry",115
"Redfern",12034
"Redhead",3453
"Reedy Creek (NSW)",397
"Regents Park (NSW)",4511
"Regentville",618
"Repton",632
"Reserve Creek",213
"Revesby",12935
"Revesby Heights",1368
"Rhodes",5679
"Richmond (NSW)",5274
"Richmond Hill (NSW)",820
"Richmond Lowlands",220
"Rileys Hill",227
"Riverside (NSW)",254
"Riverstone",6191
"Riverview (Gwydir - NSW)",125
"Riverview (Lane Cove - NSW)",3154
"Riverwood",10225
"Robertson (NSW)",1849
"Robin Hill",922
"Rock Flat",109
"Rock Forest",342
"Rock Valley",272
"Rockdale",14036
"Rockley",225
"Rocky Point (NSW)",274
"Rocky River (Uralla - NSW)",258
"Rodd Point",1295
"Rookwood (NSW)",8
"Rooty Hill",13377
"Ropes Crossing",1479
"Rose Bay (NSW)",9401
"Rosebank",509
"Roseberry Creek",182
"Rosebery (NSW)",8479
"Rosebrook (NSW)",174
"Rosedale (NSW)",231
"Rosehill (NSW)",2637
"Roselands",11167
"Rosemeadow",7634
"Roseville",9170
"Roseville Chase",1595
"Rosewood (Port Macquarie-Hastings - NSW)",345
"Rosewood (Tumbarumba - NSW)",224
"Rossmore (NSW)",2412
"Rothbury",452
"Rouchel",298
"Round Mountain",262
"Rous",254
"Rous Mill",194
"Rouse Hill",7482
"Rowlands Creek",247
"Royal National Park",16
"Royalla",879
"Rozelle",7919
"Run-o-Waters",388
"Ruse",5502
"Rushcutters Bay",2372
"Russell Lea",4780
"Russell Vale",1518
"Rutherford",10182
"Rydal",188
"Rydalmere",6216
"Ryde",21599
"Rye Park",237
"Ryhope",103
"Rylstone",874
"Sackville",251
"Sackville North",262
"Sadleir",3053
"Safety Beach (NSW)",769
"Salamander Bay",4844
"Salisbury Plains",220
"Salt Ash",1099
"San Isidore",339
"San Remo (NSW)",4304
"Sancrox",622
"Sanctuary Point",6612
"Sandgate (NSW)",309
"Sandringham (NSW)",976
"Sandy Beach",2125
"Sandy Flat",209
"Sandy Hollow",401
"Sandy Point (NSW)",590
"Sans Souci",9671
"Sapphire Beach",1765
"Saratoga",3715
"Sassafras (NSW)",38
"Saumarez Ponds",422
"Sawtell",3490
"Sawyers Gully",517
"Scarborough (NSW)",277
"Schofields",3813
"Scone",5478
"Scotland Island",715
"Scotts Head",821
"Seaforth (NSW)",6726
"Seaham",1025
"Seahampton",311
"Sebastopol (NSW)",359
"Sedgefield",489
"Seelands",211
"Sefton",5230
"Segenhoe",317
"Seven Hills (NSW)",18824
"Shadforth (NSW)",247
"Shalvey",3517
"Shanes Park",400
"Shannon Brook",245
"Shannons Flat",208
"Shell Cove",4029
"Shellharbour",3327
"Shellharbour City Centre",20
"Shelly Beach (NSW)",1266
"Sherwood (Kempsey - NSW)",261
"Shoal Bay (NSW)",1838
"Shoalhaven Heads",2995
"Shortland",3705
"Silverdale (NSW)",3439
"Silverwater (Auburn - NSW)",3162
"Silverwater (Lake Macquarie - NSW)",249
"Singleton (NSW)",5510
"Singleton Heights",4667
"Skennars Head",1194
"Skinners Shoot",239
"Smeaton Grange",20
"Smithfield (NSW)",11019
"Smiths Creek (Tweed - NSW)",319
"Smiths Lake",1076
"Smithtown",605
"Soldiers Point",1326
"Somersby",981
"Somerton (NSW)",573
"South Albury",1368
"South Arm (Nambucca - NSW)",210
"South Bathurst",1835
"South Bowenfels",1004
"South Coogee",5076
"South Durras",275
"South Golden Beach",749
"South Grafton",6392
"South Granville",4853
"South Gundagai",789
"South Gundurimba",661
"South Guyra",368
"South Hurstville",4928
"South Kempsey",2466
"South Lismore",1901
"South Littleton",254
"South Maitland",533
"South Maroota",507
"South Murwillumbah",1064
"South Nowra",1019
"South Pambula",418
"South Penrith",11640
"South Tamworth",6692
"South Turramurra",2974
"South Wentworthville",5526
"South West Rocks",4304
"South Windsor",5879
"Southampton (NSW)",59
"Southgate",176
"Speers Point",3230
"Speewa (NSW)",374
"Spencer",515
"Spicers Creek",800
"Splitters Creek",268
"Spring Farm (NSW)",1189
"Spring Flat",424
"Spring Grove",345
"Spring Hill (Cabonne - NSW)",282
"Spring Ridge",389
"Spring Terrace",280
"Springdale Heights",1891
"Springfield (Gosford - NSW)",4108
"Springrange",270
"Springside (NSW)",230
"Springvale (Wagga Wagga - NSW)",1689
"Springwood (NSW)",8437
"St Albans (NSW)",305
"St Andrews (NSW)",5691
"St Clair (Penrith - NSW)",19837
"St Fillans",287
"St Georges Basin",2632
"St Helens Park",6323
"St Huberts Island",1032
"St Ives (NSW)",15558
"St Ives Chase",3087
"St Johns Park",5961
"St Leonards (NSW)",4467
"St Marys (NSW)",10961
"St Peters (NSW)",2871
"Stanbridge",414
"Stanford Merthyr",563
"Stanhope Gardens",7671
"Stanmore (NSW)",7702
"Stanwell Park",1380
"Stanwell Tops",471
"Stockinbingal",448
"Stockton (NSW)",4195
"Stokers Siding",655
"Stonehenge (NSW)",219
"Stony Chute",235
"Stratheden",232
"Strathfield (NSW)",23639
"Strathfield South",3211
"Stroud",1022
"Stroud Road",280
"Stuart Town",487
"Stuarts Point",677
"Stubbo",236
"Stud Park",274
"Suffolk Park",3468
"Summer Hill (Ashfield - NSW)",6587
"Summer Hill Creek",530
"Summerland Point",2358
"Sunny Corner",269
"Sunset Strip (NSW)",408
"Sunshine (NSW)",438
"Sunshine Bay",1238
"Surf Beach (NSW)",2043
"Surfside",1405
"Surry Hills",15342
"Sussex Inlet",3571
"Sutherland (NSW)",9923
"Sutton (NSW)",1670
"Sutton Forest",579
"Swan Bay (Port Stephens - NSW)",437
"Swan Bay (Richmond Valley - NSW)",286
"Swansea (NSW)",4835
"Swansea Heads",706
"Sydenham (NSW)",1021
"Sydney",14308
"Sydney Olympic Park",65
"Sylvania",9728
"Sylvania Waters",3125
"Table Top",1253
"Tabulam",644
"Tacoma",751
"Tacoma South",265
"Tahmoor",4505
"Talbingo",198
"Tallawang",366
"Tallimba",335
"Tallong",715
"Tallwoods Village",546
"Tamarama",1450
"Tambar Springs",540
"Taminda",50
"Tamworth",240
"Tanilba Bay",2921
"Tanja",381
"Tannabar",117
"Tantawangalo",225
"Tapitallee",678
"Tarago",351
"Taralga",285
"Tarbuck Bay",202
"Tarcutta",613
"Taree",15848
"Taree South",295
"Taren Point",1681
"Tarraganda",246
"Tarrawanna",1996
"Tarro",1641
"Tascott",1706
"Tatham",174
"Tathra",1526
"Tatton",2182
"Taylors Arm",341
"Taylors Beach (NSW)",99
"Tea Gardens",2434
"Telarah",2227
"Telegraph Point",619
"Telopea",5177
"Temagog",359
"Temora",4417
"Tempe",3299
"Tenambit",3008
"Tennyson (NSW)",431
"Tennyson Point",1119
"Tenterfield",3966
"Teralba",1558
"Terania Creek",228
"Terara",237
"Termeil",250
"Terramungamine",247
"Terranora",2796
"Terrey Hills",2985
"Terrigal",10614
"Teven",250
"Tewinga",208
"Thalgarrah",228
"Tharbogang",676
"The Channon",480
"The Entrance",3873
"The Entrance North",1392
"The Hill",1716
"The Junction",1495
"The Lagoon",246
"The Oaks",2439
"The Pinnacles",291
"The Pocket",363
"The Ponds",2932
"The Ridgeway",167
"The Rock",1054
"The Rocks (Sydney - NSW)",683
"The Slopes",247
"The Whiteman",357
"Theresa Park",551
"Thirlmere",3530
"Thirroul",5620
"Thora",292
"Thornleigh",8115
"Thornton (NSW)",7862
"Thrumster",223
"Thurgoona",6160
"Tibooburra",262
"Tighes Hill",1615
"Timbumburi",389
"Tingha",1174
"Tingira Heights",1976
"Tinonee",1052
"Tintenbar",775
"Tintinhull",406
"Tocumwal",2383
"Tolland",3550
"Tomago",271
"Tomakin",888
"Tomerong",941
"Tomingley",330
"Tooleybuc",176
"Tooma",336
"Toongabbie (NSW)",13003
"Tooraweenah",371
"Toormina",6076
"Toowoon Bay",548
"Toronto",5433
"Torryburn (Dungog - NSW)",173
"Tottenham (NSW)",635
"Toukley",4139
"Towamba",372
"Townsend",817
"Towradgi",3123
"Towrang",314
"Trangie",1250
"Tregeagle",512
"Tregear",3916
"Trundle",666
"Trunkey Creek",263
"Tucabia",287
"Tucki Tucki",274
"Tuckombil",267
"Tuena",187
"Tuggerah",1017
"Tuggerawong",1204
"Tullamore",373
"Tullera",356
"Tullibigeal",384
"Tullimbar",157
"Tumbarumba",1757
"Tumbi Umbi",4977
"Tumblong",338
"Tumbulgum",383
"Tumut",6238
"Tuncurry",5800
"Tura Beach",2921
"Turlinjah",229
"Tuross Head",2149
"Turramurra",11083
"Turrella",1600
"Turvey Park",3549
"Tweed Heads",7525
"Tweed Heads South",7902
"Tweed Heads West",5823
"Tyagarah",159
"Tyalgum",503
"Tyndale",334
"Uki",765
"Ulamambri",396
"Ulladulla",6070
"Ulmarra",784
"Ulong",264
"Ultimo",7111
"Umina Beach",16059
"Unanderra",5675
"Ungarie",322
"Upper Burringbar",283
"Upper Corindi",230
"Upper Crystal Creek",187
"Upper Horton",207
"Upper Lansdowne",493
"Upper Main Arm",192
"Upper Manilla",300
"Upper Orara",723
"Upper Rollands Plains",379
"Uralba",208
"Uralla (NSW)",2754
"Urana",300
"Uranquinty",930
"Urbenville",446
"Urunga",3020
"Vacy",547
"Vale Of Clwydd",523
"Valentine (NSW)",5555
"Valla",831
"Valla Beach",1200
"Valley Heights",1383
"Varroville",103
"Vaucluse",9051
"Verges Creek",336
"Verona",414
"Villawood",5304
"Vincentia",2802
"Vineyard",1225
"Violet Hill",0
"Voyager Point",1369
"Wadalba",1776
"Wagga Wagga",6962
"Wagstaffe",193
"Wahroonga",16726
"Waitara",5370
"Wakefield",176
"Wakeley",4671
"Wakool",471
"Walbundrie",218
"Walcha",2496
"Walgett",2267
"Walla Walla",918
"Wallabadah",229
"Wallabi Point",545
"Wallacia",1700
"Wallaga Lake",526
"Wallagoot",468
"Wallalong",938
"Wallamore",223
"Wallarah",418
"Wallarobba",329
"Wallaroo (NSW)",644
"Wallendbeen",305
"Wallerawang",1902
"Wallsend",12307
"Wamberal",6298
"Wamboin",1672
"Wanaaring",195
"Wandandian",440
"Wandella (NSW)",299
"Wangi Wangi",2670
"Wantabadgery",299
"Warabrook",2091
"Waratah (NSW)",4760
"Waratah West",2676
"Wardell",959
"Wards River",175
"Wareemba",1474
"Warialda",1713
"Warialda Rail",201
"Warilla",6408
"Warners Bay",7457
"Warnervale",571
"Warraderry",181
"Warragamba",1236
"Warral",405
"Warrawee",2912
"Warrawong",4764
"Warregah Island",184
"Warrell Creek",250
"Warren",1599
"Warri",306
"Warriewood",6146
"Warrimoo",2346
"Warwick Farm",4494
"Watanobbi",3774
"Waterfall",483
"Waterloo (NSW)",10657
"Waterview Heights",1384
"Watsons Bay",918
"Watsons Creek (NSW)",288
"Wattamondara",267
"Wattle Flat (NSW)",363
"Wattle Grove (NSW)",8192
"Wattle Ponds",1323
"Wauchope",5952
"Waukivory",359
"Waverley (NSW)",4253
"Waverton",2807
"Way Way",203
"Wedderburn (NSW)",584
"Wee Jasper",275
"Wee Waa",2089
"Weethalle",307
"Weilmoringle",155
"Welby",736
"Wellington (NSW)",4066
"Wellington Vale",127
"Wells Crossing",302
"Wentworth (NSW)",1248
"Wentworth Falls",5934
"Wentworth Point",2759
"Wentworthville",10588
"Werai",251
"Werombi",841
"Werri Beach",541
"Werrington",3849
"Werrington County",3671
"Werrington Downs",3264
"Werris Creek",1729
"West Albury",3950
"West Ballina",2972
"West Bathurst",3838
"West Gosford",1392
"West Haven",1120
"West Hoxton",9130
"West Kempsey",4791
"West Nowra",1107
"West Pennant Hills",15967
"West Pymble",5151
"West Ryde",11867
"West Tamworth",5347
"West Wallsend",1714
"West Wollongong",4447
"West Wyalong",3042
"Westdale (Tamworth - NSW)",2285
"Westleigh",4481
"Westmead",14171
"Weston (NSW)",3682
"Wetherill Park",6026
"Whalan",5925
"Wherrol Flat",309
"Whian Whian",0
"White Cliffs",103
"White Rock (NSW)",691
"Whitebridge",2567
"Whittingham",576
"Whitton",379
"Whoota",216
"Wiangaree",206
"Wickham (NSW)",952
"Wilberforce (NSW)",2879
"Wilcannia",826
"Wildes Meadow",515
"Wiley Park",9698
"Willawarrin",304
"Williamtown",875
"Willmot",2478
"Willoughby (NSW)",5921
"Willoughby East",1819
"Willow Tree",422
"Willow Vale (Wingecarribee - NSW)",668
"Wilsons Creek",317
"Wilton (NSW)",1890
"Windale",3095
"Windang",2598
"Windella",595
"Windellama",322
"Windermere Park",686
"Windeyer (NSW)",441
"Windradyne",2831
"Windsor (NSW)",1803
"Windsor Downs",1290
"Wingello",386
"Wingen",287
"Wingham",5313
"Winifred",195
"Winmalee",6593
"Winston Hills",11184
"Winton (NSW)",201
"Wirlinga",398
"Wisemans Ferry",184
"Wittitrin",308
"Wollar",260
"Wolli Creek",2830
"Wollombi",352
"Wollongbar",2396
"Wollongong",16718
"Wollstonecraft",8012
"Wolumla",874
"Wombarra",864
"Wombat",247
"Wombeyan Caves",263
"Wondalga",283
"Wongarbon",769
"Wongawilli",184
"Woodberry",3155
"Woodbine (NSW)",2639
"Woodburn (Richmond Valley - NSW)",775
"Woodcroft (NSW)",6417
"Woodenbong",477
"Woodford (NSW)",1842
"Woodford Island",338
"Woodlands (Wingecarribee - NSW)",151
"Woodpark",1324
"Woodrising",1194
"Woodsreef",134
"Woodstock (Cowra - NSW)",812
"Woodstock (Shoalhaven - NSW)",257
"Woodview",247
"Woodville (NSW)",604
"Woolbrook",248
"Woolgoolga",5050
"Wooli",493
"Woollahra",7180
"Woollamia",637
"Woolloomooloo",3716
"Woolomin",308
