"Hume","Hume City","Victoria",,-37.598691,144.829126,-37.481958,144.977766,-37.712416,144.632482
"Loddon","Loddon Shire","Victoria",,-36.417564,143.910659,-35.905865,144.344094,-36.902346,143.315193
"Mallee","Wentworth Shire Council","New South Wales",2738,-34.145359,142.261808,-34.009583,142.832671,-34.575562,142.235440
"Murray","","",,-35.409260,143.762027,-33.938268,148.280454,-36.880252,139.243600
"Murrumbidgee","","",,-35.243799,146.201665,-34.277364,149.196053,-36.210234,143.207278
"New England","","",,43.965389,-70.822654,47.459686,-66.885075,40.950943,-73.727775
"North Coast NSW","","New South Wales",,-29.275815,153.014758,-28.157021,153.638832,-30.418897,152.168125
"South West WA","","Western Australia",,-34.055683,116.041389,-32.921936,116.856474,-35.125935,114.898841
"Southern NSW","","New South Wales",,-36.680610,149.656449,-34.639060,150.849926,-37.505077,149.356393
"Tasmania","","Tasmania",,-41.454520,145.970665,-39.129604,148.616675,-44.055714,143.708067
"Western NSW","Dubbo City Council","New South Wales",2830,-32.260685,148.623656,0.000000,0.000000,0.000000,0.000000
"Wide Bay","Central Highlands Regional","Queensland",4720,-23.524775,148.162543,0.000000,0.000000,0.000000,0.000000
"Central Queensland","","Queensland",,-20.917574,142.702796,-9.210063,153.649789,-29.177898,137.995957
"Country North SA","","South Australia",5355,-34.472561,139.006380,0.000000,0.000000,0.000000,0.000000
"Far West NSW","Unincorporated Far West","New South Wales",,-30.551296,141.683427,-28.999077,144.480798,-33.366658,140.999279
"Lower Murray","Mildura Rural City","Victoria",3500,-34.203196,142.152572,0.000000,0.000000,0.000000,0.000000
"Townsville Mackay","Mackay Regional","Queensland",4740,-21.141227,149.184099,0.000000,0.000000,0.000000,0.000000
"Central Queensland","","Queensland",,-20.917574,142.702796,-9.210063,153.649789,-29.177898,137.995957
"Far North Queensland","","Queensland",4854,-17.932869,145.923556,0.000000,0.000000,0.000000,0.000000
"Goldfields Midwest","City of Greater Geraldton","Western Australia",6530,-28.768704,114.612617,0.000000,0.000000,0.000000,0.000000
"Kimberley","","Western Australia",,-17.349180,125.915207,-13.507620,129.020633,-21.247961,118.831422
"Pilbara","","Western Australia",,-21.592143,121.523683,-19.500000,129.000535,-23.887866,114.276642
"Northern Territory","","Northern Territory",,-19.491411,132.550960,-10.809854,138.001200,-25.998618,129.000476
