"Banyule","Banyule City","Victoria",,-37.731425,145.082419,-37.682620,145.143705,-37.785092,145.027828
"Brimbank","Brimbank City","Victoria",,-37.759479,144.807137,-37.662927,144.888462,-37.822804,144.744191
"Darebin","Darebin City","Victoria",,-37.727768,145.016269,-37.691005,145.075400,-37.785645,144.970342
"Hobsons Bay","Hobsons Bay City","Victoria",,-37.836080,144.840123,-37.813842,144.918867,-37.900054,144.751432
"Hume","Hume City","Victoria",,-37.598691,144.829126,-37.481958,144.977766,-37.712416,144.632482
"Maribyrnong","Maribyrnong City","Victoria",,-37.795070,144.884125,-37.755825,144.916504,-37.826955,144.839154
"Melbourne","","Victoria",,-37.813628,144.963058,-37.511274,145.512529,-38.433859,144.593742
"Melton","Melton City","Victoria",,-37.669142,144.543721,-37.635262,144.615604,-37.720198,144.512068
"Moonee Valley","Moonee Valley City","Victoria",,-37.746502,144.906134,-37.709243,144.940380,-37.789662,144.846127
"Moreland","Moreland City","Victoria",,-37.724065,144.950171,-37.691005,144.988681,-37.780074,144.886226
"Nillumbik","Nillumbik Shire","Victoria",,-37.597667,145.270124,-37.487739,145.366412,-37.741794,145.067839
"Whittlesea","Whittlesea City","Victoria",,-37.538285,145.093449,-37.401750,145.241043,-37.699982,144.946461
"Wyndham","Wyndham City","Victoria",,-37.911900,144.653375,-37.781013,144.827488,-38.006386,144.444077
"Yarra","Yarra City","Victoria",,-37.797922,144.988722,-37.775349,145.045267,-37.834522,144.961473
"Boroondara","Boroondara City","Victoria",,-37.811902,145.071390,-37.776934,145.106720,-37.875998,144.999263
"Knox","Knox City","Victoria",,-37.871466,145.248019,-37.833033,145.347622,-37.963976,145.190852
"Manningham","Manningham City","Victoria",,-37.766851,145.159659,-37.702391,145.293932,-37.811766,145.067197
"Maroondah","Maroondah City","Victoria",,-37.809660,145.259071,-37.761845,145.318727,-37.843918,145.213328
"Monash","Monash City","Victoria",3800,-37.910524,145.136218,0.000000,0.000000,0.000000,0.000000
"Whitehorse","Whitehorse City","Victoria",,-37.828637,145.148621,-37.792159,145.213530,-37.865207,145.095111
"Yarra Ranges","Yarra Ranges Shire","Victoria",,-37.745081,145.713391,-37.525090,146.192525,-37.975111,145.281666
"Bayside","Bayside City","Victoria",,-37.933340,145.016269,-37.883273,145.055264,-37.996475,144.980034
"Cardinia","Cardinia Shire","Victoria",,-38.113488,145.580176,-37.857658,145.765135,-38.332432,145.363907
"Casey","Casey City","Victoria",,-38.110532,145.292234,-37.941890,145.430658,-38.243158,145.214827
"Frankston","Frankston City","Victoria",3199,-38.158000,145.135000,-38.124857,145.173389,-38.176899,145.109455
"Glen Eira","Glen Eira City","Victoria",,-37.903481,145.038313,-37.860225,145.085306,-37.938752,144.996745
"Greater Dandenong","Greater Dandenong City","Victoria",,-38.006111,145.203828,-37.924606,145.251993,-38.077663,145.129658
"Kingston","Kingston City","Victoria",,-37.981890,145.104480,-37.923992,145.156254,-38.085095,145.034401
"Mornington Peninsula","Mornington Peninsula Shire","Victoria",,-38.285405,145.093449,-38.162589,145.261807,-38.499934,144.651208
"Port Phillip","Port Phillip City","Victoria",,-37.846498,144.966690,-37.825882,145.010521,-37.891737,144.912468
"Stonnington","Stonnington City","Victoria",,-37.859588,145.032802,-37.829621,145.092201,-37.892976,144.983321
